sample	library	forward	reverse
drer	1	/home/share/ieb_testing/reads/drer/dna.1_1.fq.gz	/home/share/ieb_testing/reads/drer/dna.1_2.fq.gz
drer	2	/home/share/ieb_testing/reads/drer/dna.2_1.fq.gz	/home/share/ieb_testing/reads/drer/dna.2_2.fq.gz
hsap	1	/home/share/ieb_testing/reads/hsap/dna.1_1.fq.gz	/home/share/ieb_testing/reads/hsap/dna.1_2.fq.gz
hsap	2	/home/share/ieb_testing/reads/hsap/dna.2_1.fq.gz	/home/share/ieb_testing/reads/hsap/dna.2_2.fq.gz
hsap	3	/home/share/ieb_testing/reads/hsap/dna.3_1.fq.gz	/home/share/ieb_testing/reads/hsap/dna.3_2.fq.gz
hsap	4	/home/share/ieb_testing/reads/hsap/dna.4_1.fq.gz	/home/share/ieb_testing/reads/hsap/dna.4_2.fq.gz
hsap	5	/home/share/ieb_testing/reads/hsap/dna.5_1.fq.gz	/home/share/ieb_testing/reads/hsap/dna.5_2.fq.gz
hsap	6	/home/share/ieb_testing/reads/hsap/dna.6_1.fq.gz	/home/share/ieb_testing/reads/hsap/dna.6_2.fq.gz
char	1	/home/share/raw_data/char/VAX1_1.fq.gz	/home/share/raw_data/char/VAX1_2.fq.gz
char	2	/home/share/raw_data/char/VAX2_1.fq.gz	/home/share/raw_data/char/VAX2_2.fq.gz
char	3	/home/share/raw_data/char/VAX3_1.fq.gz	/home/share/raw_data/char/VAX3_2.fq.gz
ttin	w	/home/share/raw_data/ttin/dna_ehu_girish/ESTONBA_03/20150526/FASTQ/C6KB3ANXX_3_10nf_1.fastq.gz	/home/share/raw_data/ttin/dna_ehu_girish/ESTONBA_03/20150526/FASTQ/C6KB3ANXX_3_10nf_2.fastq.gz
ttin	e	/home/share/raw_data/ttin/dna_ehu_girish/ESTONBA_03/20150526/FASTQ/C6KB3ANXX_8_14nf_1.fastq.gz	/home/share/raw_data/ttin/dna_ehu_girish/ESTONBA_03/20150526/FASTQ/C6KB3ANXX_8_14nf_2.fastq.gz
haxy	1	/home/share/raw_data/haxy/ERR3209583_1.fastq.gz	/home/share/raw_data/haxy/ERR3209583_2.fastq.gz
haxy	2	/home/share/raw_data/haxy/ERR3209584_1.fastq.gz	/home/share/raw_data/haxy/ERR3209584_2.fastq.gz
haxy	3	/home/share/raw_data/haxy/ERR3209585_1.fastq.gz	/home/share/raw_data/haxy/ERR3209585_2.fastq.gz
ssal	ERR2247296	/home/share/raw_data/exfi/ssal/ERR2247296_1.fastq.gz	/home/share/raw_data/exfi/ssal/ERR2247296_2.fastq.gz
ssal	ERR2247297	/home/share/raw_data/exfi/ssal/ERR2247297_1.fastq.gz	/home/share/raw_data/exfi/ssal/ERR2247297_2.fastq.gz
ssal	ERR2247298	/home/share/raw_data/exfi/ssal/ERR2247298_1.fastq.gz	/home/share/raw_data/exfi/ssal/ERR2247298_2.fastq.gz
ssal	ERR2247299	/home/share/raw_data/exfi/ssal/ERR2247299_1.fastq.gz	/home/share/raw_data/exfi/ssal/ERR2247299_2.fastq.gz
amex	SRR1706011	/home/share/raw_data/exfi/amex/SRR1706011_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706011_2.fastq.gz
amex	SRR1706012	/home/share/raw_data/exfi/amex/SRR1706012_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706012_2.fastq.gz
amex	SRR1706013	/home/share/raw_data/exfi/amex/SRR1706013_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706013_2.fastq.gz
amex	SRR1706014	/home/share/raw_data/exfi/amex/SRR1706014_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706014_2.fastq.gz
amex	SRR1706015	/home/share/raw_data/exfi/amex/SRR1706015_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706015_2.fastq.gz
amex	SRR1706016	/home/share/raw_data/exfi/amex/SRR1706016_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706016_2.fastq.gz
amex	SRR1706017	/home/share/raw_data/exfi/amex/SRR1706017_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706017_2.fastq.gz
amex	SRR1706018	/home/share/raw_data/exfi/amex/SRR1706018_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706018_2.fastq.gz
amex	SRR1706020	/home/share/raw_data/exfi/amex/SRR1706020_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706020_2.fastq.gz
amex	SRR1706021	/home/share/raw_data/exfi/amex/SRR1706021_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706021_2.fastq.gz
amex	SRR1706022	/home/share/raw_data/exfi/amex/SRR1706022_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706022_2.fastq.gz
amex	SRR1706023	/home/share/raw_data/exfi/amex/SRR1706023_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706023_2.fastq.gz
amex	SRR1706025	/home/share/raw_data/exfi/amex/SRR1706025_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706025_2.fastq.gz
amex	SRR1706026	/home/share/raw_data/exfi/amex/SRR1706026_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706026_2.fastq.gz
amex	SRR1706027	/home/share/raw_data/exfi/amex/SRR1706027_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706027_2.fastq.gz
amex	SRR1706028	/home/share/raw_data/exfi/amex/SRR1706028_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706028_2.fastq.gz
amex	SRR1706029	/home/share/raw_data/exfi/amex/SRR1706029_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706029_2.fastq.gz
amex	SRR1706030	/home/share/raw_data/exfi/amex/SRR1706030_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR1706030_2.fastq.gz
amex	SRR2027504	/home/share/raw_data/exfi/amex/SRR2027504_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027504_2.fastq.gz
amex	SRR2027505	/home/share/raw_data/exfi/amex/SRR2027505_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027505_2.fastq.gz
amex	SRR2027506	/home/share/raw_data/exfi/amex/SRR2027506_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027506_2.fastq.gz
amex	SRR2027507	/home/share/raw_data/exfi/amex/SRR2027507_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027507_2.fastq.gz
amex	SRR2027508	/home/share/raw_data/exfi/amex/SRR2027508_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027508_2.fastq.gz
amex	SRR2027509	/home/share/raw_data/exfi/amex/SRR2027509_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027509_2.fastq.gz
amex	SRR2027510	/home/share/raw_data/exfi/amex/SRR2027510_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027510_2.fastq.gz
amex	SRR2027511	/home/share/raw_data/exfi/amex/SRR2027511_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027511_2.fastq.gz
amex	SRR2027512	/home/share/raw_data/exfi/amex/SRR2027512_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027512_2.fastq.gz
amex	SRR2027513	/home/share/raw_data/exfi/amex/SRR2027513_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027513_2.fastq.gz
amex	SRR2027514	/home/share/raw_data/exfi/amex/SRR2027514_1.fastq.gz	/home/share/raw_data/exfi/amex/SRR2027514_2.fastq.gz
